======================== REPORT OF INPUTS - INCLUSION ANALYSIS ========================

       Label         |      Prediction      |        Input         |       p_value        |    Standard_error    |       In_model      
   pie_izquierdo     |        False         |    lambda_xyz_13    |      45.810674      |       0.898118      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_14    |      50.460484      |       0.943952      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_15    |      40.409962      |       0.540007      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_16    |      39.705819      |       0.261838      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_17    |      39.116043      |       0.774355      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_18    |      41.000566      |       0.545590      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_19    |      41.042505      |       0.894327      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_20    |      37.561110      |       0.635650      |        False        
   pie_izquierdo     |         True         |      ancho pie      |       0.003318      |       0.074297      |        False        
   pie_izquierdo     |         True         |      largo pie      |       0.004724      |       0.177001      |        False        
   pie_izquierdo     |         True         |  distancia talones  |       0.003955      |       0.763634      |        False        
   pie_izquierdo     |         True         |     largo tibia     |       0.002141      |       0.522269      |        False        
   pie_izquierdo     |         True         |     largo muslo     |       0.002787      |       0.498831      |        False        
   pie_izquierdo     |         True         |     largo lumbar    |       0.003765      |       0.163674      |        False        
   pie_izquierdo     |         True         |         edad        |       0.015401      |       0.136248      |        False        
   pie_izquierdo     |         True         |        altura       |       0.002896      |       0.713364      |        False        
   pie_izquierdo     |         True         |         peso        |       0.001426      |       0.303623      |        False        
   pie_izquierdo     |         True         |        LLE_x        |       1.671217      |       0.095424      |        False        
   pie_izquierdo     |         True         |        LLE_y        |       1.601882      |       0.579717      |        False        
   pie_izquierdo     |         True         |        LLE_z        |       1.239190      |       0.264593      |        False        
   pie_izquierdo     |         True         |        LLE_yz       |       2.955933      |       0.939842      |        False        
   pie_izquierdo     |         True         |       LLE_xyz       |      12.157000      |       0.982879      |        False        
   pie_izquierdo     |         True         |      lambda_x_1     |       5.597026      |       0.916394      |        False        
   pie_izquierdo     |         True         |      lambda_x_2     |       5.145051      |       0.819250      |        False        
   pie_izquierdo     |         True         |      lambda_x_3     |       4.895847      |       0.907189      |        False        
   pie_izquierdo     |         True         |      lambda_x_4     |       4.420016      |       0.611739      |        False        
   pie_izquierdo     |         True         |      lambda_x_5     |       4.395380      |       0.807018      |        False        
   pie_izquierdo     |         True         |      lambda_x_6     |       4.342106      |       0.950149      |        False        
   pie_izquierdo     |         True         |      lambda_x_7     |       5.288069      |       0.018742      |         True        
   pie_izquierdo     |         True         |      lambda_x_8     |       6.547341      |       0.685468      |        False        
   pie_izquierdo     |         True         |      lambda_x_9     |       5.236731      |       0.425570      |        False        
   pie_izquierdo     |         True         |     lambda_x_10     |       3.101899      |       0.858348      |        False        
   pie_izquierdo     |         True         |     lambda_x_11     |       5.211796      |       0.821583      |        False        
   pie_izquierdo     |         True         |     lambda_x_12     |       5.065896      |       0.197040      |        False        
   pie_izquierdo     |         True         |     lambda_x_13     |       6.272817      |       0.979673      |        False        
   pie_izquierdo     |         True         |     lambda_x_14     |       5.944050      |       0.784986      |        False        
   pie_izquierdo     |         True         |     lambda_x_15     |       5.518150      |       0.935061      |        False        
   pie_izquierdo     |         True         |     lambda_x_16     |       4.508090      |       0.351874      |        False        
   pie_izquierdo     |         True         |     lambda_x_17     |       4.716232      |       0.609284      |        False        
   pie_izquierdo     |         True         |     lambda_x_18     |       4.365752      |       0.809313      |        False        
   pie_izquierdo     |         True         |     lambda_x_19     |       3.875751      |       0.797697      |        False        
   pie_izquierdo     |         True         |     lambda_x_20     |       4.738398      |       0.350789      |        False        
   pie_izquierdo     |         True         |      lambda_y_1     |      11.025726      |       0.387863      |        False        
   pie_izquierdo     |         True         |      lambda_y_2     |       7.962084      |       0.823815      |        False        
   pie_izquierdo     |         True         |      lambda_y_3     |       9.671914      |       0.001473      |         True        
   pie_izquierdo     |         True         |      lambda_y_4     |       6.444748      |       0.746018      |        False        
   pie_izquierdo     |         True         |      lambda_y_5     |       8.147001      |       0.315047      |        False        
   pie_izquierdo     |         True         |      lambda_y_6     |       7.414053      |       0.498010      |        False        
   pie_izquierdo     |         True         |      lambda_y_7     |       7.274531      |       0.775930      |        False        
   pie_izquierdo     |         True         |      lambda_y_8     |       6.841240      |       0.667787      |        False        
   pie_izquierdo     |         True         |      lambda_y_9     |       6.790098      |       0.941312      |        False        
   pie_izquierdo     |         True         |     lambda_y_10     |       5.238957      |       0.330593      |        False        
   pie_izquierdo     |         True         |     lambda_y_11     |       6.924364      |       0.322215      |        False        
   pie_izquierdo     |         True         |     lambda_y_12     |       6.953361      |       0.856862      |        False        
   pie_izquierdo     |         True         |     lambda_y_13     |       7.605428      |       0.949698      |        False        
   pie_izquierdo     |         True         |     lambda_y_14     |       8.956025      |       0.471524      |        False        
   pie_izquierdo     |         True         |     lambda_y_15     |      10.652702      |       0.162694      |        False        
   pie_izquierdo     |         True         |     lambda_y_16     |       7.453745      |       0.739189      |        False        
   pie_izquierdo     |         True         |     lambda_y_17     |      11.506675      |       0.509528      |        False        
   pie_izquierdo     |         True         |     lambda_y_18     |       6.887788      |       0.228294      |        False        
   pie_izquierdo     |         True         |     lambda_y_19     |       6.980904      |       0.154221      |        False        
   pie_izquierdo     |         True         |     lambda_y_20     |       6.814017      |       0.628601      |        False        
   pie_izquierdo     |         True         |      lambda_z_1     |       5.383098      |       0.671998      |        False        
   pie_izquierdo     |         True         |      lambda_z_2     |       5.845011      |       0.911165      |        False        
   pie_izquierdo     |         True         |      lambda_z_3     |       5.802562      |       0.267023      |        False        
   pie_izquierdo     |         True         |      lambda_z_4     |       6.418985      |       0.612303      |        False        
   pie_izquierdo     |         True         |      lambda_z_5     |       5.038295      |       0.412016      |        False        
   pie_izquierdo     |         True         |      lambda_z_6     |       7.049281      |       0.895126      |        False        
   pie_izquierdo     |         True         |      lambda_z_7     |       6.669453      |       0.977397      |        False        
   pie_izquierdo     |         True         |      lambda_z_8     |       7.694425      |       0.706615      |        False        
   pie_izquierdo     |         True         |      lambda_z_9     |       3.944885      |       0.519101      |        False        
   pie_izquierdo     |         True         |     lambda_z_10     |       4.248332      |       0.843333      |        False        
   pie_izquierdo     |         True         |     lambda_z_11     |       5.785770      |       0.940122      |        False        
   pie_izquierdo     |         True         |     lambda_z_12     |       7.737660      |       0.474123      |        False        
   pie_izquierdo     |         True         |     lambda_z_13     |      10.473037      |       0.746281      |        False        
   pie_izquierdo     |         True         |     lambda_z_14     |       5.261589      |       0.689390      |        False        
   pie_izquierdo     |         True         |     lambda_z_15     |       7.589217      |       0.238528      |        False        
   pie_izquierdo     |         True         |     lambda_z_16     |       6.026779      |       0.422900      |        False        
   pie_izquierdo     |         True         |     lambda_z_17     |       6.013177      |       0.087591      |        False        
   pie_izquierdo     |         True         |     lambda_z_18     |       4.341542      |       0.756855      |        False        
   pie_izquierdo     |         True         |     lambda_z_19     |       6.810571      |       0.184087      |        False        
   pie_izquierdo     |         True         |     lambda_z_20     |       4.114089      |       0.489871      |        False        
   pie_izquierdo     |         True         |     lambda_yz_1     |      44.640200      |       0.315767      |        False        
   pie_izquierdo     |         True         |     lambda_yz_2     |      34.022754      |       0.710445      |        False        
   pie_izquierdo     |         True         |     lambda_yz_3     |      45.090993      |       0.216029      |        False        
   pie_izquierdo     |         True         |     lambda_yz_4     |      33.676104      |       0.834903      |        False        
   pie_izquierdo     |         True         |     lambda_yz_5     |      34.024885      |       0.506644      |        False        
   pie_izquierdo     |         True         |     lambda_yz_6     |      36.482997      |       0.849504      |        False        
   pie_izquierdo     |         True         |     lambda_yz_7     |      31.485567      |       0.923366      |        False        
   pie_izquierdo     |         True         |     lambda_yz_8     |      35.096732      |       0.981880      |        False        
   pie_izquierdo     |         True         |     lambda_yz_9     |      29.194807      |       0.385283      |        False        
   pie_izquierdo     |         True         |     lambda_yz_10    |      28.534939      |       0.824676      |        False        
   pie_izquierdo     |         True         |     lambda_yz_11    |      28.756799      |       0.327262      |        False        
   pie_izquierdo     |         True         |     lambda_yz_12    |      35.992704      |       0.394570      |        False        
   pie_izquierdo     |         True         |     lambda_yz_13    |      29.402993      |       0.485050      |        False        
   pie_izquierdo     |         True         |     lambda_yz_14    |      39.649317      |       0.741044      |        False        
   pie_izquierdo     |         True         |     lambda_yz_15    |      40.295523      |       0.013014      |         True        
   pie_izquierdo     |         True         |     lambda_yz_16    |      38.773285      |       0.265270      |        False        
   pie_izquierdo     |         True         |     lambda_yz_17    |      39.782385      |       0.833548      |        False        
   pie_izquierdo     |         True         |     lambda_yz_18    |      29.676493      |       0.673017      |        False        
   pie_izquierdo     |         True         |     lambda_yz_19    |      33.459506      |       0.495487      |        False        
   pie_izquierdo     |         True         |     lambda_yz_20    |      31.144129      |       0.496944      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_1    |      46.190834      |       0.528935      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_2    |      40.100789      |       0.593054      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_3    |      43.347150      |       0.937595      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_4    |      39.254542      |       0.004693      |         True        
   pie_izquierdo     |         True         |     lambda_xyz_5    |      46.089083      |       0.911263      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_6    |      40.458622      |       0.887485      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_7    |      41.054713      |       0.736116      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_8    |      35.998011      |       0.682876      |        False        
   pie_izquierdo     |         True         |     lambda_xyz_9    |      39.041145      |       0.567671      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_10    |      39.290761      |       0.954837      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_11    |      44.551787      |       0.882473      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_12    |      38.879515      |       0.579223      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_13    |      45.810673      |       0.898118      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_14    |      50.460484      |       0.943952      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_15    |      40.409962      |       0.540006      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_16    |      39.705818      |       0.261838      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_17    |      39.116043      |       0.774355      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_18    |      41.000566      |       0.545590      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_19    |      41.042504      |       0.894327      |        False        
   pie_izquierdo     |         True         |    lambda_xyz_20    |      37.561110      |       0.635650      |        False        
    pie_derecho      |        False         |      ancho pie      |       0.002173      |       0.474008      |        False        
    pie_derecho      |        False         |      largo pie      |       0.003109      |       0.485921      |        False        
    pie_derecho      |        False         |  distancia talones  |       0.002541      |       0.806970      |        False        
    pie_derecho      |        False         |     largo tibia     |       0.001407      |       0.878438      |        False        
    pie_derecho      |        False         |     largo muslo     |       0.001820      |       0.879397      |        False        
    pie_derecho      |        False         |     largo lumbar    |       0.002448      |       0.342189      |        False        
    pie_derecho      |        False         |         edad        |       0.010440      |       0.646337      |        False        
    pie_derecho      |        False         |        altura       |       0.001899      |       0.848996      |        False        
    pie_derecho      |        False         |         peso        |       0.000941      |       0.269125      |        False        
    pie_derecho      |        False         |        LLE_x        |       1.077246      |       0.985385      |        False        
    pie_derecho      |        False         |        LLE_y        |       1.061611      |       0.988812      |        False        
    pie_derecho      |        False         |        LLE_z        |       0.816341      |       0.772904      |        False        
    pie_derecho      |        False         |        LLE_yz       |       1.987936      |       0.975454      |        False        
    pie_derecho      |        False         |       LLE_xyz       |       7.876479      |       0.249427      |        False        
    pie_derecho      |        False         |      lambda_x_1     |       3.688082      |       0.535098      |        False        
    pie_derecho      |        False         |      lambda_x_2     |       3.392852      |       0.445770      |        False        
    pie_derecho      |        False         |      lambda_x_3     |       3.240996      |       0.508953      |        False        
    pie_derecho      |        False         |      lambda_x_4     |       2.732286      |       0.492463      |        False        
    pie_derecho      |        False         |      lambda_x_5     |       2.868673      |       0.474262      |        False        
    pie_derecho      |        False         |      lambda_x_6     |       2.820270      |       0.511992      |        False        
    pie_derecho      |        False         |      lambda_x_7     |       3.512815      |       0.518597      |        False        
    pie_derecho      |        False         |      lambda_x_8     |       4.139952      |       0.524493      |        False        
    pie_derecho      |        False         |      lambda_x_9     |       3.466150      |       0.433439      |        False        
    pie_derecho      |        False         |     lambda_x_10     |       2.028017      |       0.567049      |        False        
    pie_derecho      |        False         |     lambda_x_11     |       3.167558      |       0.504825      |        False        
    pie_derecho      |        False         |     lambda_x_12     |       3.263306      |       0.534384      |        False        
    pie_derecho      |        False         |     lambda_x_13     |       4.022406      |       0.698037      |        False        
    pie_derecho      |        False         |     lambda_x_14     |       3.858003      |       0.658032      |        False        
    pie_derecho      |        False         |     lambda_x_15     |       3.446180      |       0.505390      |        False        
    pie_derecho      |        False         |     lambda_x_16     |       2.963096      |       0.492576      |        False        
    pie_derecho      |        False         |     lambda_x_17     |       3.140838      |       0.597686      |        False        
    pie_derecho      |        False         |     lambda_x_18     |       2.886639      |       0.696734      |        False        
    pie_derecho      |        False         |     lambda_x_19     |       2.539389      |       0.496952      |        False        
    pie_derecho      |        False         |     lambda_x_20     |       3.080237      |       0.463355      |        False        
    pie_derecho      |        False         |      lambda_y_1     |       6.892355      |       0.413554      |        False        
    pie_derecho      |        False         |      lambda_y_2     |       4.998163      |       0.453199      |        False        
    pie_derecho      |        False         |      lambda_y_3     |       6.185479      |       0.550466      |        False        
    pie_derecho      |        False         |      lambda_y_4     |       3.976503      |       0.497354      |        False        
    pie_derecho      |        False         |      lambda_y_5     |       5.036367      |       0.375871      |        False        
    pie_derecho      |        False         |      lambda_y_6     |       4.849482      |       0.673441      |        False        
    pie_derecho      |        False         |      lambda_y_7     |       4.879355      |       0.998912      |        False        
    pie_derecho      |        False         |      lambda_y_8     |       4.307014      |       0.730419      |        False        
    pie_derecho      |        False         |      lambda_y_9     |       4.546677      |       0.556611      |        False        
    pie_derecho      |        False         |     lambda_y_10     |       3.511167      |       0.593359      |        False        
    pie_derecho      |        False         |     lambda_y_11     |       4.467732      |       0.560533      |        False        
    pie_derecho      |        False         |     lambda_y_12     |       4.589593      |       0.668346      |        False        
    pie_derecho      |        False         |     lambda_y_13     |       5.071541      |       0.737773      |        False        
    pie_derecho      |        False         |     lambda_y_14     |       5.571784      |       0.742506      |        False        
    pie_derecho      |        False         |     lambda_y_15     |       6.403236      |       0.794274      |        False        
    pie_derecho      |        False         |     lambda_y_16     |       4.789677      |       0.674017      |        False        
    pie_derecho      |        False         |     lambda_y_17     |       7.470003      |       0.755552      |        False        
    pie_derecho      |        False         |     lambda_y_18     |       4.519238      |       0.592824      |        False        
    pie_derecho      |        False         |     lambda_y_19     |       4.578436      |       0.439806      |        False        
    pie_derecho      |        False         |     lambda_y_20     |       4.407362      |       0.850971      |        False        
    pie_derecho      |        False         |      lambda_z_1     |       3.497618      |       0.469576      |        False        
    pie_derecho      |        False         |      lambda_z_2     |       3.612791      |       0.398999      |        False        
    pie_derecho      |        False         |      lambda_z_3     |       3.864269      |       0.346697      |        False        
    pie_derecho      |        False         |      lambda_z_4     |       4.243885      |       0.682492      |        False        
    pie_derecho      |        False         |      lambda_z_5     |       3.365340      |       0.515088      |        False        
    pie_derecho      |        False         |      lambda_z_6     |       4.148125      |       0.453782      |        False        
    pie_derecho      |        False         |      lambda_z_7     |       4.434207      |       0.686427      |        False        
    pie_derecho      |        False         |      lambda_z_8     |       4.952356      |       0.504907      |        False        
    pie_derecho      |        False         |      lambda_z_9     |       2.586755      |       0.419254      |        False        
    pie_derecho      |        False         |     lambda_z_10     |       2.817698      |       0.434397      |        False        
    pie_derecho      |        False         |     lambda_z_11     |       3.811077      |       0.393547      |        False        
    pie_derecho      |        False         |     lambda_z_12     |       4.997306      |       0.428395      |        False        
    pie_derecho      |        False         |     lambda_z_13     |       6.633195      |       0.348350      |        False        
    pie_derecho      |        False         |     lambda_z_14     |       3.499481      |       0.478324      |        False        
    pie_derecho      |        False         |     lambda_z_15     |       4.853256      |       0.377236      |        False        
    pie_derecho      |        False         |     lambda_z_16     |       3.951116      |       0.340279      |        False        
    pie_derecho      |        False         |     lambda_z_17     |       3.900818      |       0.369027      |        False        
    pie_derecho      |        False         |     lambda_z_18     |       2.876952      |       0.423040      |        False        
    pie_derecho      |        False         |     lambda_z_19     |       4.245755      |       0.600984      |        False        
    pie_derecho      |        False         |     lambda_z_20     |       2.734666      |       0.396842      |        False        
    pie_derecho      |        False         |     lambda_yz_1     |      26.525337      |       0.708606      |        False        
    pie_derecho      |        False         |     lambda_yz_2     |      22.090022      |       0.934230      |        False        
    pie_derecho      |        False         |     lambda_yz_3     |      28.690293      |       0.522652      |        False        
    pie_derecho      |        False         |     lambda_yz_4     |      21.889815      |       0.650257      |        False        
    pie_derecho      |        False         |     lambda_yz_5     |      21.994433      |       0.912162      |        False        
    pie_derecho      |        False         |     lambda_yz_6     |      23.394047      |       0.615832      |        False        
    pie_derecho      |        False         |     lambda_yz_7     |      20.755115      |       0.688406      |        False        
    pie_derecho      |        False         |     lambda_yz_8     |      22.880660      |       0.672966      |        False        
    pie_derecho      |        False         |     lambda_yz_9     |      18.836016      |       0.685666      |        False        
    pie_derecho      |        False         |     lambda_yz_10    |      18.702124      |       0.945233      |        False        
    pie_derecho      |        False         |     lambda_yz_11    |      18.878918      |       0.893945      |        False        
    pie_derecho      |        False         |     lambda_yz_12    |      23.208117      |       0.535309      |        False        
    pie_derecho      |        False         |     lambda_yz_13    |      18.862655      |       0.656174      |        False        
    pie_derecho      |        False         |     lambda_yz_14    |      24.249811      |       0.668555      |        False        
    pie_derecho      |        False         |     lambda_yz_15    |      25.258649      |       0.623209      |        False        
    pie_derecho      |        False         |     lambda_yz_16    |      25.123357      |       0.671523      |        False        
    pie_derecho      |        False         |     lambda_yz_17    |      25.604551      |       0.651470      |        False        
    pie_derecho      |        False         |     lambda_yz_18    |      19.542972      |       0.914512      |        False        
    pie_derecho      |        False         |     lambda_yz_19    |      21.491466      |       0.931243      |        False        
    pie_derecho      |        False         |     lambda_yz_20    |      20.710504      |       0.677994      |        False        
